"","shortPostCode","population2019","population2020","population2021","population2022"
"110","BB18",17275.4180635148,17372.3772786083,17469.880682523,17567.9313295481
"111","BB2 ",60260.3266801361,60598.5410118938,60938.6535898196,61280.6750679223
"112","BB3 ",34696.6499473456,34891.3867654591,35087.2165544614,35284.1454487104
"113","BB4 ",41633.3653441745,41867.0348513687,42102.0158412676,42338.3156746387
"114","BB5 ",61444.9382686349,61789.8012967882,62136.5998872765,62485.3449035477
"115","BB6 ",14741.274427677,14824.0106250142,14907.2111837188,14990.8787100439
"116","BB7 ",31876.9123461991,32055.8232350314,32235.7382708713,32416.6630895479
"117","BB8 ",23170.3188544993,23300.3635180403,23431.1380642653,23562.6465896802
"118","BB9 ",44848.3086790053,45100.022228964,45353.1485347903,45607.6955256525
"119","BD1 ",3857.52975677528,3879.18035047101,3900.9524592909,3922.84676524514
"120","BD10",26027.2641201402,26173.343542985,26320.2428444648,26467.9666261926
"121","BD11",11418.7305495786,11482.818790302,11547.266729731,11612.0763866941
"122","BD12",16778.6454618862,16872.8165139752,16967.5161061701,17062.747204931
"123","BD13",25119.195983965,25260.1788254472,25401.9529407266,25544.5227708703
"124","BD14",8920.78896568132,8970.85737461635,9021.2067951954,9071.83880461149
"125","BD15",15401.9618755918,15488.4062168441,15575.3357316213,15662.7531429861
"126","BD16",25947.8207283818,26093.4542709081,26239.905189542,26387.178071851
"127","BD17",18001.4703274334,18102.5045499952,18204.1058325773,18306.2773578346
"128","BD18",27410.986994312,27564.8326363761,27719.5417453992,27875.1191676361
"129","BD19",22142.5828244095,22266.8592640827,22391.8332119725,22517.5085828813
"130","BD2 ",28726.3282148182,28887.5562803845,29049.6892471595,29212.7321939502
"131","BD20",35513.2073411155,35712.5271316172,35912.9656151872,36114.5290705506
"132","BD21",27285.285425074,27438.425560305,27592.4252027998,27747.2891765893
"133","BD22",30016.5291214769,30184.9985091786,30354.4134403999,30524.7792220548
"134","BD23",29493.6105934469,29659.1450727227,29825.6086231863,29993.0064593
"135","BD24",5159.79801408081,5188.75765856797,5217.87984062086,5247.16547249031
"136","BD3 ",34211.9446963639,34403.9610801288,34597.055166198,34791.2330032339
"137","BD4 ",31393.2127077713,31569.4088063097,31746.5938149487,31924.7732839997
"138","BD5 ",31818.5868180727,31997.1703517344,32176.7561951052,32357.3499737022
"139","BD6 ",30240.7807209975,30410.5087328895,30581.1893523973,30752.8279260824
"140","BD7 ",35543.3757177326,35742.8648298743,35943.4735854111,36145.2082684019
"141","BD8 ",31678.80667308,31856.6056831433,32035.4025997346,32215.2030236581
"142","BD9 ",29473.4983423688,29638.9199405513,29805.2699763704,29972.5536607325
"143","BH1 ",19412.3447405605,19521.2975718176,19630.8619067131,19741.0411773442
